label,texto
FALSO,Bolsonaro: Um paciente com câncer custa muito caro para o Estado Vamos cortar essa farra
FALSO,O programa Mais Médicos além de privilegiar os cubanos dificulta o ingresso de médicos brasileiros vocês sabiam?
FALSO,Raciocinem! Existem apenas duas Universidades de Medicina em Cuba La Habana: forma em média 200 médicos por ano Elam - Escuela Latinoamericana de Medicina: forma em média 100 alunos por ano
FALSO,Desabafo em relação ao programa Mais Médicos
FALSO,Antônio Carlos de Almeida Castro o Kakay é um dos quatro advogados responsáveis pela defesa de Adélio Bispo
FALSO,Não temos qualquer comprovação de que sejam médicos os cubanos
CONTRADITÓRIO,Condicionamos à continuidade do programa Mais Médicos  a liberdade para trazerem suas famílias
VERDADEIRO,salário integral aos profissionais cubanos hoje maior parte destinados à ditadura
FALSO,O Lula foi o presidente da República que mais ostentou Seus ternos eram os mais caros que já fiz para um presidente Adorava ternos confeccionados em seda palha com botões de ouro 24 quilates cobertos com prata para disfarçar Sempre achei que ele tinha uma alma de burguês adora o luxo e a riqueza o resto é populismo para enganar os eleitores inocentes Ele é bom nisso
FALSO,O Brasil preservou a Europa inteira territorialmente toda a União Europeia com as nossas matas mais cinco Noruegas
INSUSTENTÁVEL,Onde foram liberadas as drogas os problemas continuam acontecendo
VERDADEIRO,Desde o presidente Castelo Branco  ele afastou os militares que entraram na política dos quartéis Antes disso os militares participavam da política e se perdesse o cargo ele voltava para os quartéis
FALSO,Nosso povo convive numa boa com homossexuais
VERDADEIRO,Nós escolhemos uma pessoa Bolsonaro que nunca administrou nenhum pequeno negócio particular
VERDADEIRO,O Paulo Guedes nunca teve nenhuma vivência no serviço público
FALSO,Equipe de Bolsonaro encontra 700 carretas pagas com dinheiro do BNDES e abandonadas por Eike Batista
FALSO,PSL: Defendemos o fim do 13º salário e das férias pagas
FALSO,Texto escrito por Moro há mais de 17 anos em seu blog pessoal
FALSO,Departamento de Justiça dos EUA divulgam ao mundo toda a corrupção de Lula e Dilma
FALSO,Notícia importante Vírus encontrado em medicamento importado da Venezuela  Não tomem o novo Dipirona que vem escrito S/500  Os médicos comprovam que contém vírus Marburg considerados um dos vírus mais perigosos do mundo e com alta taxa de mortalidade
FALSO,Durante os 13 anos de PT dobrou-se os gastos com a educação e a qualidade de ensino diminuiu
FALSO,Quem por exemplo recebe Bolsa Família é tido como empregado quem não procura emprego há mais de um ano é tido como empregado quem recebe seguro desemprego é tido como empregado
EXAGERADO,Quem nos botou nessa dívida interna monstruosa foi lá atrás FHC quando na metade do seu governo de oito anos botou a taxa Selic na casa dos 60%
FALSO,Flávio Bolsonaro: Um elemento negro andando perto de uma favela com um guarda-chuva na mão Queria o quê? Correu o risco A culpa não é da polícia
